Day,Play_Number,Time_Post_Snap_s,Receiver,Openness_yds,Defender_ID,Y_yds,X_yds
DAY 3 (03-22-2026),2,0.63,R1,,,3.53,18.36
DAY 3 (03-22-2026),2,0.63,R2,,,12.69,48.82
DAY 3 (03-22-2026),2,0.63,R4,,,20.2,55.67
DAY 3 (03-22-2026),2,0.64,R1,,,4.17,18.27
DAY 3 (03-22-2026),2,0.64,R2,,,12.73,48.89
DAY 3 (03-22-2026),2,0.64,R3,,,17.52,50.25
DAY 3 (03-22-2026),2,0.64,R4,,,20.26,55.65
DAY 3 (03-22-2026),2,0.66,R1,,,4.41,18.27
DAY 3 (03-22-2026),2,0.66,R2,,,12.74,48.92
DAY 3 (03-22-2026),2,0.66,R3,,,17.58,50.23
DAY 3 (03-22-2026),2,0.66,R4,,,20.28,55.62
DAY 3 (03-22-2026),2,0.68,R1,,,4.77,17.9
DAY 3 (03-22-2026),2,0.68,R2,,,12.86,48.94
DAY 3 (03-22-2026),2,0.68,R3,,,17.68,50.18
DAY 3 (03-22-2026),2,0.68,R4,,,20.38,55.57
DAY 3 (03-22-2026),2,0.7,R1,,,4.89,17.81
DAY 3 (03-22-2026),2,0.7,R2,,,12.89,48.94
DAY 3 (03-22-2026),2,0.7,R3,,,17.71,50.13
DAY 3 (03-22-2026),2,0.7,R4,,,20.41,55.57
DAY 3 (03-22-2026),2,0.71,R1,,,5.08,17.73
DAY 3 (03-22-2026),2,0.71,R2,,,12.97,48.97
DAY 3 (03-22-2026),2,0.71,R3,,,17.83,50.23
DAY 3 (03-22-2026),2,0.73,R1,,,5.12,17.73
DAY 3 (03-22-2026),2,0.73,R2,,,12.99,48.97
DAY 3 (03-22-2026),2,0.73,R3,,,17.86,50.28
DAY 3 (03-22-2026),2,0.75,R1,,,5.34,17.73
DAY 3 (03-22-2026),2,0.75,R2,,,13.08,49.09
DAY 3 (03-22-2026),2,0.75,R3,,,17.92,50.25
DAY 3 (03-22-2026),2,0.75,R4,,,20.66,55.67
DAY 3 (03-22-2026),2,0.77,R1,,,5.42,17.73
DAY 3 (03-22-2026),2,0.77,R2,,,13.1,49.12
DAY 3 (03-22-2026),2,0.77,R3,,,17.96,50.25
DAY 3 (03-22-2026),2,0.77,R4,,,20.68,55.7
DAY 3 (03-22-2026),2,0.78,R1,,,5.67,17.61
DAY 3 (03-22-2026),2,0.78,R2,,,13.18,49.22
DAY 3 (03-22-2026),2,0.78,R3,,,17.98,50.2
DAY 3 (03-22-2026),2,0.78,R4,,,20.86,55.8
DAY 3 (03-22-2026),2,0.8,R1,,,5.76,17.58
DAY 3 (03-22-2026),2,0.8,R2,,,13.2,49.24
DAY 3 (03-22-2026),2,0.8,R3,,,17.99,50.18
DAY 3 (03-22-2026),2,0.8,R4,,,20.91,55.82
DAY 3 (03-22-2026),2,0.82,R1,,,6.17,17.23
DAY 3 (03-22-2026),2,0.82,R2,,,13.28,49.24
DAY 3 (03-22-2026),2,0.82,R3,,,18.03,50.13
DAY 3 (03-22-2026),2,0.82,R4,,,21.08,55.9
DAY 3 (03-22-2026),2,0.84,R1,,,6.31,17.12
DAY 3 (03-22-2026),2,0.84,R2,,,13.3,49.27
DAY 3 (03-22-2026),2,0.84,R3,,,18.04,50.13
DAY 3 (03-22-2026),2,0.84,R4,,,21.13,55.92
DAY 3 (03-22-2026),2,0.85,R1,,,6.58,16.97
DAY 3 (03-22-2026),2,0.85,R2,,,13.41,49.47
DAY 3 (03-22-2026),2,0.87,R1,,,6.67,16.92
DAY 3 (03-22-2026),2,0.87,R2,,,13.44,49.55
DAY 3 (03-22-2026),2,0.89,R1,,,7.18,16.94
DAY 3 (03-22-2026),2,0.89,R2,,,13.5,49.72
DAY 3 (03-22-2026),2,0.91,R1,,,7.37,16.97
DAY 3 (03-22-2026),2,0.91,R2,,,13.52,49.8
DAY 3 (03-22-2026),2,0.91,R4,,,21.68,55.8
DAY 3 (03-22-2026),2,0.92,R1,,,7.78,16.94
DAY 3 (03-22-2026),2,0.92,R2,,,13.58,49.9
DAY 3 (03-22-2026),2,0.92,R4,,,21.8,55.75
DAY 3 (03-22-2026),2,0.94,R1,,,7.92,16.92
DAY 3 (03-22-2026),2,0.94,R2,,,13.6,49.92
DAY 3 (03-22-2026),2,0.94,R4,,,21.84,55.72
DAY 3 (03-22-2026),2,0.96,R1,,,8.13,16.92
